cnt,pos,speed,DTorque,STorque,Force,,,,
1953,11.9535,-0.0061,8,0,3,1.171875,-2.34375,125,26
1954,11.9535,-0.0091,8,0,3,1.171875,-1.953125,126,26
1955,11.9535,-0.0061,8,0,3,1.171875,-1.5625,127,26
1956,11.9536,0.0122,8,0,3,1.171875,-1.171875,128,26
1957,11.9535,0,8,0,3,1.171875,-1.171875,129,26
1958,11.9535,0,8,0,3,1.171875,-0.78125,130,27
1959,11.9535,-0.003,8,0,3,1.171875,-0.78125,131,27
1960,11.9535,0.003,8,0,3,1.171875,-0.390625,132,27
1961,11.9535,-0.0122,8,0,3,1.171875,0,133,27
1962,11.9536,-0.0061,8,0,3,1.171875,0,134,27
1963,11.9536,0.0061,8,0,3,1.171875,0,135,28
1964,11.9536,0,8,0,3,1.171875,0.390625,136,28
1965,11.9536,0,8,0,3,1.171875,0.390625,137,28
1966,11.9536,0,8,0,3,1.171875,1.171875,138,28
1967,11.9536,0,8,0,3,1.171875,1.171875,139,28
1968,11.9536,0.0061,8,0,3,1.171875,1.5625,140,29
1969,11.9536,0.003,8,0,3,1.171875,1.953125,141,29
1970,11.9535,0,8,0,3,1.171875,2.34375,142,29
1971,11.9535,-0.0091,8,0,3,1.171875,2.734375,143,29
1972,11.9536,-0.0091,8,0,3,1.171875,3.515625,144,29
1973,11.9536,0,8,0,3,1.171875,3.515625,145,30
1974,11.9536,0,8,0,3,1.171875,4.296875,146,30
1975,11.9536,-0.0061,8,0,3,1.171875,4.296875,147,30
1976,11.9536,0.0091,8,0,3,1.171875,5.078125,148,30
1977,11.9536,-0.003,8,0,3,1.171875,5.46875,149,30
1978,11.9536,-0.003,8,0,3,1.171875,6.25,150,31
1979,11.9536,0,8,0,3,1.171875,6.25,151,31
1980,11.9536,0,8,0,3,1.171875,7.03125,152,31
1981,11.9536,0,8,0,3,1.171875,7.421875,153,31
1982,11.9536,0.003,8,0,3,1.171875,7.8125,154,31
1983,11.9536,0.003,8,0,3,1.171875,7.8125,155,32
1984,11.9536,0,8,0,3,1.171875,8.59375,156,32
1985,11.9536,-0.003,8,0,3,1.171875,8.984375,157,32
1986,11.9536,-0.003,8,0,3,1.171875,10.15625,158,32
1987,11.9536,0.003,8,0,3,1.171875,10.15625,159,32
