cnt,pos,pos1,speed,speed1,DTorque,DTorque1,DAC,DAC1,STorque,STorque1,Force,Force1
141,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
142,106.128,-0,0,0,0,0,0,0,0,0,0,0
143,106.128,-0,0,0,0,0,0,0,0,0,0,0
144,106.13,-0,0,0,0,0,0,0,0,0,0,0
145,106.13,-0,-2.1572,0,0,0,0,0,0,0,0,0
146,106.13,-0,0,0,0,0,0,0,0,0,0,0
147,106.13,-0,4.3143,0,1,0,0,0,0,0,0,0
148,106.128,-0,0,0,0,0,0,0,0,0,0,0
149,106.128,-0,0,0,0,0,0,0,0,0,0,0
150,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
151,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
152,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
153,106.128,-0,-2.1572,0,1,0,0,0,0,0,0,0
154,106.128,-0,0,0,0,0,0,0,0,0,0,0
155,106.13,-0,2.1572,0,1,0,0,0,0,0,0,0
156,106.128,-0,0,0,0,0,0,0,0,0,0,0
157,106.128,-0,0,0,-1,0,0,0,0,0,0,0
158,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
159,106.126,-0,0,0,0,0,0,0,0,0,0,0
160,106.124,-0,-2.1572,0,0,0,0,0,0,0,0,0
161,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
162,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
163,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
164,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
165,106.126,-0,0,0,0,0,0,0,0,0,0,0
166,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
167,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
168,106.126,-0,0,0,1,0,0,0,0,0,0,0
169,106.128,-0,-2.1572,0,2,0,0,0,0,0,0,0
170,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
171,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
172,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
173,106.128,-0,0,0,0,0,0,0,0,0,0,0
174,106.126,-0,0,0,0,0,0,0,0,0,0,0
175,106.126,-0,0,0,0,0,0,0,0,0,0,0
176,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
177,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
178,106.128,-0,0,0,0,0,0,0,0,0,0,0
179,106.13,-0,2.1572,0,0,0,0,0,0,0,0,0
180,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
181,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
182,106.128,-0,0,0,0,0,0,0,0,0,0,0
183,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
184,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
185,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
186,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
187,106.128,-0,0,0,-1,0,0,0,0,0,0,0
188,106.126,-0,0,0,0,0,0,0,0,0,0,0
189,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
190,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
191,106.128,-0,0,0,0,0,0,0,0,0,0,0
192,106.128,-0,0,0,0,0,0,0,0,0,0,0
193,106.128,-0,0,0,0,0,0,0,0,0,0,0
194,106.126,-0,0,0,0,0,0,0,0,0,0,0
195,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
196,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
197,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
198,106.128,-0,0,0,0,0,0,0,0,0,0,0
199,106.128,-0,0,0,-1,0,0,0,0,0,0,0
200,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
201,106.126,-0,0,0,0,0,0,0,0,0,0,0
202,106.128,-0,0,0,2,0,0,0,0,0,0,0
203,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
204,106.128,-0,0,0,-1,0,0,0,0,0,0,0
205,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
206,106.128,-0,0,0,-1,0,0,0,0,0,0,0
207,106.126,-0,0,0,0,0,0,0,0,0,0,0
208,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
209,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
210,106.128,-0,0,0,0,0,0,0,0,0,0,0
211,106.128,-0,0,0,0,0,0,0,0,0,0,0
212,106.126,-0,0,0,0,0,0,0,0,0,0,0
213,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
214,106.126,-0,0,0,1,0,0,0,0,0,0,0
215,106.126,-0,0,0,0,0,0,0,0,0,0,0
216,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
217,106.124,-0,2.1572,0,0,0,0,0,0,0,0,0
218,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
219,106.126,-0,0,0,0,0,0,0,0,0,0,0
220,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
221,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
222,106.126,-0,0,0,-1,0,0,0,0,0,0,0
223,106.126,-0,2.1572,0,2,0,0,0,0,0,0,0
224,106.126,-0,0,0,0,0,0,0,0,0,0,0
225,106.126,-0,0,0,-1,0,0,0,0,0,0,0
226,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
227,106.124,-0,0,0,0,0,0,0,0,0,0,0
228,106.126,-0,0,0,0,0,0,0,0,0,0,0
229,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
230,106.126,-0,0,0,0,0,0,0,0,0,0,0
231,106.126,-0,0,0,0,0,0,0,0,0,0,0
232,106.126,-0,0,0,0,0,0,0,0,0,0,0
233,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
234,106.124,-0,-2.1572,0,0,0,0,0,0,0,0,0
235,106.126,-0,0,0,-1,0,0,0,0,0,0,0
236,106.126,-0,0,0,0,0,0,0,0,0,0,0
237,106.126,-0,0,0,0,0,0,0,0,0,0,0
238,106.126,-0,0,0,0,0,0,0,0,0,0,0
239,106.128,-0,0,0,0,0,0,0,0,0,0,0
240,106.13,-0,2.1572,0,-1,0,0,0,0,0,0,0
241,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
242,106.128,-0,0,0,-1,0,0,0,0,0,0,0
243,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
244,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
245,106.126,-0,2.1572,0,2,0,0,0,0,0,0,0
246,106.128,-0,-2.1572,0,0,0,0,0,0,0,0,0
247,106.128,-0,0,0,0,0,0,0,0,0,0,0
248,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
249,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
250,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
251,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
252,106.128,-0,0,0,0,0,0,0,0,0,0,0
253,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
254,106.126,-0,0,0,0,0,0,0,0,0,0,0
255,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
256,106.128,-0,0,0,0,0,0,0,0,0,0,0
257,106.128,-0,0,0,0,0,0,0,0,0,0,0
258,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
259,106.128,-0,0,0,0,0,0,0,0,0,0,0
260,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
261,106.126,-0,0,0,1,0,0,0,0,0,0,0
262,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
263,106.126,-0,0,0,1,0,0,0,0,0,0,0
264,106.128,-0,0,0,0,0,0,0,0,0,0,0
265,106.128,-0,0,0,-1,0,0,0,0,0,0,0
266,106.128,-0,0,0,0,0,0,0,0,0,0,0
267,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
268,106.126,-0,-2.1572,0,1,0,0,0,0,0,0,0
269,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
270,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
271,106.128,-0,0,0,0,0,0,0,0,0,0,0
272,106.128,-0,0,0,1,0,0,0,0,0,0,0
273,106.128,-0,0,0,0,0,0,0,0,0,0,0
274,106.128,-0,0,0,0,0,0,0,0,0,0,0
275,106.128,-0,0,0,0,0,0,0,0,0,0,0
276,106.128,-0,0,0,0,0,0,0,0,0,0,0
277,106.128,-0,0,0,-1,0,0,0,0,0,0,0
278,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
279,106.128,-0,0,0,0,0,0,0,0,0,0,0
280,106.126,-0,0,0,0,0,0,0,0,0,0,0
281,106.128,-0,2.1572,0,1,0,0,0,0,0,0,0
282,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
283,106.126,-0,0,0,0,0,0,0,0,0,0,0
284,106.128,-0,0,0,0,0,0,0,0,0,0,0
285,106.126,-0,-2.1572,0,-1,0,0,0,0,0,0,0
286,106.13,-0,-2.1572,0,1,0,0,0,0,0,0,0
287,106.128,-0,0,0,2,0,0,0,0,0,0,0
288,106.128,-0,0,0,-1,0,0,0,0,0,0,0
289,106.128,-0,0,0,0,0,0,0,0,0,0,0
290,106.128,-0,0,0,0,0,0,0,0,0,0,0
291,106.128,-0,0,0,0,0,0,0,0,0,0,0
292,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
293,106.128,-0,0,0,0,0,0,0,0,0,0,0
294,106.128,-0,2.1572,0,0,0,0,0,0,0,0,0
295,106.128,-0,2.1572,0,-1,0,0,0,0,0,0,0
296,106.126,-0,-2.1572,0,0,0,0,0,0,0,0,0
297,106.126,-0,2.1572,0,0,0,0,0,0,0,0,0
298,106.128,-0,0,0,0,0,0,0,0,0,0,0
299,106.126,-0,0,0,-1,0,0,0,0,0,0,0
300,106.13,-0,-2.1572,0,0,0,0,0,0,0,0,0
301,106.128,-0,0,0,0,0,0,0,0,0,0,0
302,106.128,-0,0,0,0,0,0,0,0,0,0,0
303,106.128,-0,0,0,0,0,0,0,0,0,0,0
304,106.126,-0,0,0,0,0,0,0,0,0,0,0
305,106.126,-0,2.1572,0,-1,0,0,0,0,0,0,0
306,106.126,-0,2.1572,0,1,0,0,0,0,0,0,0
