cnt,pos,speed,DTorque,DAC,STorque
214,-173.173,0,0,0,0
215,-173.173,-0.0024,0,0,0
216,-173.173,0.0012,0,0,0
217,-173.173,0.0012,0,0,0
218,-173.173,-0.0036,0,0,0
219,-173.173,-0.0036,0,0,0
220,-173.173,0.0036,0,0,0
221,-173.173,0,0,0,0
222,-173.173,-0.0012,0,0,0
223,-173.173,-0.0036,0,0,0
224,-173.173,-0.0024,0,0,0
225,-173.173,0.0012,0,0,0
226,-173.173,0.0024,0,0,0
227,-173.173,-0.0012,0,0,0
228,-173.173,-0.0012,0,0,0
229,-173.173,-0.0012,0,0,0
230,-173.173,0,0,0,0
231,-173.173,0,0,0,0
232,-173.173,-0.0012,0,0,0
233,-173.173,-0.0036,0,0,0
234,-173.173,0.0012,0,0,0
235,-173.173,0,0,0,0
236,-173.173,0,0,0,0
237,-173.173,0.0012,0,0,0
238,-173.173,0,0,0,0
239,-173.173,0,0,0,0
240,-173.173,0.0024,0,0,0
241,-173.173,-0.0036,0,0,0
242,-173.173,-0.0012,0,0,0
243,-173.173,-0.0012,0,0,0
244,-173.173,-0.0012,0,0,0
245,-173.173,0,0,0,0
246,-173.173,0.0024,0,0,0
247,-173.173,0.0012,0,0,0
248,-173.173,0,0,0,0
249,-173.173,0.0072,0,0,0
250,-173.173,-0.0012,0,0,0
251,-173.173,0,0,0,0
252,-173.173,0.0012,0,0,0
253,-173.173,0,0,0,0
254,-173.173,-0.0012,0,0,0
255,-173.173,0,0,0,0
256,-173.173,0.0024,0,0,0
257,-173.173,0,0,0,0
258,-173.173,0.0036,0,0,0
259,-173.173,-0.0024,0,0,0
260,-173.173,-0.0024,0,0,0
261,-173.173,-0.0024,0,0,0
262,-173.173,-0.0012,0,0,0
263,-173.173,0,0,0,0
264,-173.173,0,0,0,0
265,-173.173,0,0,0,0
266,-173.173,0,0,0,0
267,-173.173,-0.0012,0,0,0
268,-173.173,0,0,0,0
269,-173.173,-0.0012,0,0,0
270,-173.173,0,0,0,0
271,-173.173,-0.0012,0,0,0
272,-173.173,0.0024,0,0,0
273,-173.173,0.0012,0,0,0
274,-173.173,-0.0012,0,0,0
275,-173.173,0.0012,0,0,0
276,-173.173,-0.0012,0,0,0
277,-173.173,-0.0012,0,0,0
278,-173.173,0.0012,0,0,0
279,-173.173,-0.0012,0,0,0
280,-173.173,0,0,0,0
281,-173.173,-0.0012,0,0,0
282,-173.173,0,0,0,0
283,-173.173,0,0,0,0
284,-173.173,0.0036,0,0,0
285,-173.173,0,0,0,0
286,-173.173,-0.0012,0,0,0
287,-173.173,0,0,0,0
