cnt,pos,speed,DTorque,DAC,STorque
366,-230.738,-49.9865,-39,0,0
367,-230.938,-49.9591,-41,0,0
368,-231.188,-49.9793,-40,0,0
369,-231.338,-50.0115,-39,0,0
370,-231.638,-49.9972,-38,0,0
371,-231.838,-49.971,-39,0,0
372,-232.138,-50.0258,-39,0,0
373,-232.238,-50.0365,-39,0,0
374,-232.589,-50.0294,-38,0,0
375,-232.789,-49.996,-38,0,0
376,-233.088,-49.9674,-40,0,0
377,-233.288,-49.9996,-39,0,0
378,-233.588,-49.9853,-39,0,0
379,-233.788,-49.9233,-40,0,0
380,-234.038,-50.0067,-40,0,0
381,-234.238,-49.971,-39,0,0
382,-234.488,-49.9865,-39,0,0
383,-234.687,-49.934,-40,0,0
384,-234.937,-49.9257,-41,0,0
385,-235.137,-49.934,-41,0,0
386,-235.336,-49.9042,-41,0,0
387,-235.586,-50.0234,-41,0,0
388,-235.786,-50.0175,-41,0,0
389,-236.036,-49.9853,-41,0,0
390,-236.236,-49.9924,-42,0,0
391,-236.536,-50.0568,-41,0,0
392,-236.736,-50.0199,-41,0,0
393,-236.986,-49.8971,-41,0,0
394,-237.186,-49.9364,-41,0,0
395,-237.486,-50.0556,-42,0,0
396,-237.636,-50.021,-41,0,0
397,-237.936,-49.9674,-43,0,0
398,-238.086,-50.0151,-42,0,0
399,-238.335,-49.996,-42,0,0
400,-238.536,-50.0151,-41,0,0
401,-238.786,-50.0032,-43,0,0
402,-238.986,-49.9281,-43,0,0
403,-239.285,-49.9829,-43,0,0
404,-239.435,-50.0568,-42,0,0
405,-239.736,-50.1248,-41,0,0
406,-239.936,-49.9865,-43,0,0
407,-240.186,-50.027,-41,0,0
408,-240.987,-49.9662,-42,0,0
409,-241.286,-50.0485,-43,0,0
410,-241.487,-50.0795,-41,0,0
411,-241.787,-50.0234,-42,0,0
412,-241.937,-49.9233,-42,0,0
413,-242.137,-49.9734,-41,0,0
414,-242.287,-50.0652,-42,0,0
415,-242.637,-50.027,-34,0,0
416,-242.737,-49.6813,-27,0,0
417,-242.984,-49.0471,-15,0,0
418,-243.13,-48.078,-6,0,0
419,-243.273,-47.1875,4,0,0
420,-243.414,-46.0062,16,0,0
421,-243.595,-43.9523,32,0,0
422,-243.725,-42.2274,40,0,0
423,-243.89,-40.2283,51,0,0
424,-243.968,-38.1553,57,0,0
425,-244.117,-35.8916,64,0,0
426,-244.22,-33.6172,72,0,0
427,-244.346,-30.3927,79,0,0
428,-244.404,-27.6724,84,0,0
429,-244.509,-24.0569,84,0,0
430,-244.579,-21.4797,81,0,0
431,-244.641,-19.9765,77,0,0
432,-244.679,-18.5913,76,0,0
433,-244.746,-15.6958,72,0,0
434,-244.775,-13.7098,66,0,0
435,-244.849,-10.8465,57,0,0
436,-244.878,-9.2241,51,0,0
437,-244.903,-7.8914,45,0,0
438,-244.917,-6.6767,40,0,0
439,-244.942,-5.2999,34,0,0
440,-244.957,-4.4392,31,0,0
441,-244.973,-3.3676,26,0,0
442,-244.98,-2.8872,22,0,0
443,-244.988,-2.4378,18,0,0
444,-244.992,-1.7821,13,0,0
445,-244.998,-1.1325,7,0,0
446,-245.002,-0.6985,2,0,0
447,-245.003,-0.3481,-1,0,0
448,-245.004,0.0095,-7,0,0
449,-245.003,0.124,-9,0,0
450,-245.003,0.1395,-11,0,0
451,-245.003,0.1192,-12,0,0
452,-245.002,0.0989,-12,0,0
453,-245.002,0.0918,-13,0,0
454,-245.002,0.1407,-13,0,0
455,-245.001,0.1514,-14,0,0
456,-245.001,0.0966,-14,0,0
457,-245.001,0.0036,-13,0,0
458,-245.001,-0.1037,-12,0,0
459,-245.002,-0.0823,-11,0,0
460,-245.002,-0.031,-11,0,0
461,-245.002,0.006,-12,0,0
462,-245.002,0.0203,-12,0,0
463,-245.002,0.0048,-12,0,0
